institution,date,file_path,gross_loans,credit_impairments,npl_ratio
ABSA BANK LTD,2022-01-01,test_data/BA900_2022-01-01_zipcsv/34118.csv,36866573.0,31941837.0,86.64173097944308
AFRICAN BANK LIMITED (N),2022-01-01,test_data/BA900_2022-01-01_zipcsv/160571.csv,3781224.0,10205358.0,269.89562110046904
BANK OF CHINA LTD JHB BRANCH (T/A BANK OF CHINA JHB BRANC,2022-01-01,test_data/BA900_2022-01-01_zipcsv/337889.csv,6555376.0,359716.0,5.487343517747876
BNP PARIBAS SOUTH AFRICA BRANCH,2022-01-01,test_data/BA900_2022-01-01_zipcsv/478636.csv,17.0,19661.0,115652.94117647059
CAPITEC BANK,2022-01-01,test_data/BA900_2022-01-01_zipcsv/333107.csv,6822732.0,18131045.0,265.74464598638787
CITIBANK N.A,2022-01-01,test_data/BA900_2022-01-01_zipcsv/165565.csv,727631.58,23868.61,3.2803152936270306
DISCOVERY BANK LIMITED,2022-01-01,test_data/BA900_2022-01-01_zipcsv/165271.csv,4100612.0,514672.0,12.551102128170136
FIRSTRAND BANK LIMITED,2022-01-01,test_data/BA900_2022-01-01_zipcsv/416053.csv,46929681.4869,35830982.1476,76.35036295228618
GBS MUTUAL BANK,2022-01-01,test_data/BA900_2022-01-01_zipcsv/418072.csv,77.0,9228.0,11984.415584415585
HSBC BANK PLC - JOHANNESBURG BRANCH,2022-01-01,test_data/BA900_2022-01-01_zipcsv/535761.csv,275730.0,189890.0,68.86809560076887
INVESTEC BANK LTD,2022-01-01,test_data/BA900_2022-01-01_zipcsv/25054.csv,2397857.0,2534394.0,105.69412604671588
JPMORGAN CHASE BANK (JOHANNESBURG BRANCH),2022-01-01,test_data/BA900_2022-01-01_zipcsv/331899.csv,14.0,25525.0,182321.42857142858
NEDBANK LTD,2022-01-01,test_data/BA900_2022-01-01_zipcsv/416088.csv,18094775.0,23539245.0,130.08863055771624
STANDARD CHARTERED BANK,2022-01-01,test_data/BA900_2022-01-01_zipcsv/535788.csv,35701.0,1028899.0,2881.9893000196075
THE STANDARD BANK OF S A LTD,2022-01-01,test_data/BA900_2022-01-01_zipcsv/416061.csv,43241585.0,40750177.0,94.23839806057063
ABSA BANK LTD,2022-02-01,test_data/BA900_2022-02-01_zipcsv/34118.csv,37299353.0,32384280.0,86.82263201723633
AFRICAN BANK LIMITED (N),2022-02-01,test_data/BA900_2022-02-01_zipcsv/160571.csv,3820000.0,10124208.0,265.0316230366492
BANK OF CHINA LTD JHB BRANCH (T/A BANK OF CHINA JHB BRANC,2022-02-01,test_data/BA900_2022-02-01_zipcsv/337889.csv,6535381.0,360762.0,5.520137234539195
BNP PARIBAS SOUTH AFRICA BRANCH,2022-02-01,test_data/BA900_2022-02-01_zipcsv/478636.csv,18.0,19655.0,109194.44444444444
CAPITEC BANK,2022-02-01,test_data/BA900_2022-02-01_zipcsv/333107.csv,6713872.0,17472371.0,260.24283751611586
CITIBANK N.A,2022-02-01,test_data/BA900_2022-02-01_zipcsv/165565.csv,108901.32,24453.97,22.45516399617562
DISCOVERY BANK LIMITED,2022-02-01,test_data/BA900_2022-02-01_zipcsv/165271.csv,4134968.0,527457.0,12.756011654745574
FIRSTRAND BANK LIMITED,2022-02-01,test_data/BA900_2022-02-01_zipcsv/416053.csv,46910513.938599996,35550793.6973,75.78427672702873
GBS MUTUAL BANK,2022-02-01,test_data/BA900_2022-02-01_zipcsv/418072.csv,993.0,10981.0,1105.840886203424
HSBC BANK PLC - JOHANNESBURG BRANCH,2022-02-01,test_data/BA900_2022-02-01_zipcsv/535761.csv,287417.0,194267.0,67.59064355970594
INVESTEC BANK LTD,2022-02-01,test_data/BA900_2022-02-01_zipcsv/25054.csv,2443795.0,2616450.0,107.06503614255696
JPMORGAN CHASE BANK (JOHANNESBURG BRANCH),2022-02-01,test_data/BA900_2022-02-01_zipcsv/331899.csv,18.0,25525.0,141805.55555555556
